Best trial value: 0.06676275380849879
Best hyperparameters: {'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.00017489205183753874, 'num_neurons': 87, 'num_hidden_layers': 2, 'l1_reg': 0.00040322538610911165, 'l2_reg': 2.899284099154708e-05}

All trial results:
Trial 82: Value=0.27687989549082953, Params={'optimizer': 'Adamax', 'activation_function': 'mish', 'learning_rate': 2.5434898455980384e-05, 'num_neurons': 19, 'num_hidden_layers': 8, 'l1_reg': 0.0006554224466684419, 'l2_reg': 0.00010427082211893661}
Trial 83: Value=0.12389517653273263, Params={'optimizer': 'Adamax', 'activation_function': 'mish', 'learning_rate': 0.002947413021202677, 'num_neurons': 30, 'num_hidden_layers': 7, 'l1_reg': 0.00014943807183134833, 'l2_reg': 0.0030049597932467996}
Trial 84: Value=0.1128848971937375, Params={'optimizer': 'Adamax', 'activation_function': 'mish', 'learning_rate': 0.004663013059607015, 'num_neurons': 33, 'num_hidden_layers': 6, 'l1_reg': 5.5346077366371164e-05, 'l2_reg': 0.00017896905631341906}
Trial 85: Value=0.4308369653589798, Params={'optimizer': 'Adamax', 'activation_function': 'mish', 'learning_rate': 1.1736554857352371e-05, 'num_neurons': 34, 'num_hidden_layers': 4, 'l1_reg': 0.006080581691838989, 'l2_reg': 0.00022058065868106502}
Trial 86: Value=0.16260506696288926, Params={'optimizer': 'Adamax', 'activation_function': 'mish', 'learning_rate': 0.0018023175612095306, 'num_neurons': 7, 'num_hidden_layers': 6, 'l1_reg': 7.175398363303829e-05, 'l2_reg': 1.9037375907856276e-05}
Trial 87: Value=0.12037254089462451, Params={'optimizer': 'Adamax', 'activation_function': 'mish', 'learning_rate': 0.0023649811421297584, 'num_neurons': 22, 'num_hidden_layers': 7, 'l1_reg': 0.0003237114824663758, 'l2_reg': 0.00016617500003665169}
Trial 88: Value=0.11398389534577141, Params={'optimizer': 'Lion', 'activation_function': 'mish', 'learning_rate': 0.0013731279334619482, 'num_neurons': 27, 'num_hidden_layers': 9, 'l1_reg': 1.2593765532247615e-05, 'l2_reg': 3.8954745321154986e-05}
Trial 89: Value=0.13076820754595644, Params={'optimizer': 'Lion', 'activation_function': 'mish', 'learning_rate': 0.0012988348366345039, 'num_neurons': 19, 'num_hidden_layers': 7, 'l1_reg': 1.5426514074353904e-05, 'l2_reg': 7.661513832424832e-06}
Trial 90: Value=0.3180309976116471, Params={'optimizer': 'Lion', 'activation_function': 'mish', 'learning_rate': 0.0031881677920396556, 'num_neurons': 26, 'num_hidden_layers': 6, 'l1_reg': 4.1263464842912956e-05, 'l2_reg': 6.608048392652246e-05}
Trial 91: Value=0.631220866701551, Params={'optimizer': 'Lion', 'activation_function': 'mish', 'learning_rate': 0.004676367241023515, 'num_neurons': 28, 'num_hidden_layers': 9, 'l1_reg': 0.00010963551516084823, 'l2_reg': 4.3099386950733386e-05}
Trial 92: Value=0.2692940124067811, Params={'optimizer': 'SGD', 'activation_function': 'mish', 'learning_rate': 0.0022220789045440735, 'num_neurons': 33, 'num_hidden_layers': 8, 'l1_reg': 0.0002786272855144569, 'l2_reg': 0.00014564307748131782}
Trial 93: Value=0.768269117758427, Params={'optimizer': 'Lion', 'activation_function': 'mish', 'learning_rate': 0.003843476002233178, 'num_neurons': 47, 'num_hidden_layers': 9, 'l1_reg': 0.0006566506780383211, 'l2_reg': 2.368149590759286e-05}
Trial 94: Value=0.25065548050958925, Params={'optimizer': 'Adamax', 'activation_function': 'gelu', 'learning_rate': 0.008384575860078564, 'num_neurons': 36, 'num_hidden_layers': 10, 'l1_reg': 4.3091749024688646e-05, 'l2_reg': 0.00025681942581892394}
Trial 95: Value=0.2289739533051717, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.000392572133069574, 'num_neurons': 30, 'num_hidden_layers': 5, 'l1_reg': 1.156010946969593e-05, 'l2_reg': 2.330754113508455e-06}
Trial 96: Value=0.10510187846493073, Params={'optimizer': 'Adam', 'activation_function': 'mish', 'learning_rate': 0.0028471512287700125, 'num_neurons': 38, 'num_hidden_layers': 8, 'l1_reg': 8.462510321537929e-05, 'l2_reg': 4.27253504667223e-05}
Trial 97: Value=0.12852495699359506, Params={'optimizer': 'Adam', 'activation_function': 'mish', 'learning_rate': 0.002819621052887327, 'num_neurons': 53, 'num_hidden_layers': 8, 'l1_reg': 7.592585723345093e-05, 'l2_reg': 5.7957407062869116e-06}
